N,DateTime,PozKontS,Longitude,Latitude,RPM,Power,Current,Voltage,Speed,even,odd
0,8/29/2021 23:55,0,,,352,0,0,0,0,0,
1,8/29/2021 23:55,0,,,352,0,0,0,0,0,
2,8/29/2021 23:55,0,,,356,0,0,0,0,0,
3,8/29/2021 23:55,0,,,356,0,0,0,0,0,
4,8/29/2021 23:55,0,,,356,0,0,0,0,0,
5,8/29/2021 23:55,0,,,352,0,0,0,0,0,
6,8/29/2021 23:55,0,,,352,0,0,0,0,0,
7,8/29/2021 23:55,0,,,352,0,0,0,0,0,
8,8/29/2021 23:55,0,,,356,0,0,0,0,0,
9,8/29/2021 23:55,0,,,356,0,0,0,0,0,
10,8/29/2021 23:55,0,,,352,0,0,0,0,0,
11,8/29/2021 23:55,0,,,352,0,0,0,0,0,
12,8/29/2021 23:55,0,,,352,0,0,0,0,0,
13,8/29/2021 23:55,0,,,356,0,0,0,0,0,
14,8/29/2021 23:55,0,,,356,0,0,0,0,0,
15,8/29/2021 23:55,0,,,352,0,0,0,0,0,
16,8/29/2021 23:55,0,,,352,0,0,0,0,0,
17,8/29/2021 23:55,0,,,352,0,0,0,0,0,
18,8/29/2021 23:55,0,,,356,0,0,0,0,0,
19,8/29/2021 23:55,0,,,356,0,0,0,0,0,
20,8/29/2021 23:56,0,,,352,0,0,0,0,0,
21,8/29/2021 23:56,0,,,352,0,0,0,0,0,
22,8/29/2021 23:56,0,,,352,0,0,0,0,0,
23,8/29/2021 23:56,0,,,356,0,0,0,0,0,
24,8/29/2021 23:56,0,,,360,0,0,0,0,0,
25,8/29/2021 23:56,0,,,356,0,0,0,0,0,
26,8/29/2021 23:56,0,,,348,0,0,0,0,0,
27,8/29/2021 23:56,0,,,352,0,0,0,0,0,
28,8/29/2021 23:56,0,,,356,0,0,0,0,0,
29,8/29/2021 23:56,0,,,360,0,0,0,0,0,
30,8/29/2021 23:56,0,,,356,0,0,0,0,0,
31,8/29/2021 23:56,0,,,352,0,0,0,0,0,
32,8/29/2021 23:56,0,,,352,0,0,0,0,0,
33,8/29/2021 23:56,0,,,356,0,0,0,0,0,
34,8/29/2021 23:56,0,,,360,0,0,0,0,0,
35,8/29/2021 23:56,0,,,356,0,0,0,0,0,
36,8/29/2021 23:56,0,,,352,0,0,0,0,0,
37,8/29/2021 23:56,0,,,352,0,0,0,0,0,
38,8/29/2021 23:56,0,,,356,0,0,0,0,0,
39,8/29/2021 23:56,0,,,360,0,0,0,0,0,
40,8/29/2021 23:57,0,,,356,0,0,0,0,0,
41,8/29/2021 23:57,0,,,352,0,0,0,0,0,
42,8/29/2021 23:57,0,,,352,0,0,0,0,0,
43,8/29/2021 23:57,0,,,356,0,0,0,0,0,
44,8/29/2021 23:57,0,,,356,0,0,0,0,0,
45,8/29/2021 23:57,0,,,356,0,0,0,0,0,
46,8/29/2021 23:57,0,,,352,0,0,0,0,0,
47,8/29/2021 23:57,0,,,352,0,0,0,0,0,
48,8/29/2021 23:57,0,,,352,0,0,0,0,0,
49,8/29/2021 23:57,0,,,356,0,0,0,0,0,
50,8/29/2021 23:57,0,,,356,0,0,0,0,0,
51,8/29/2021 23:57,0,,,352,0,0,0,0,0,
52,8/29/2021 23:57,0,,,352,0,0,0,0,0,
53,8/29/2021 23:57,0,,,352,0,0,0,0,0,
54,8/29/2021 23:57,0,,,356,0,0,0,0,0,
55,8/29/2021 23:57,0,,,356,0,0,0,0,0,
56,8/29/2021 23:57,0,,,352,0,0,0,0,0,
57,8/29/2021 23:57,0,,,352,0,0,0,0,0,
58,8/29/2021 23:57,0,,,352,0,0,0,0,0,
59,8/29/2021 23:57,0,,,356,0,0,0,0,0,
60,8/29/2021 23:58,0,,,356,0,0,0,0,0,
61,8/29/2021 23:58,0,,,352,0,0,0,0,0,
62,8/29/2021 23:58,0,,,352,0,0,0,0,0,
